ul_output,ur_output,ll_output,lr_output
15.89,71.6,15.89,71.6
6.66,76.35,6.66,76.35
8.39,78.04,8.39,78.04
10.15,79.76,10.15,79.76
11.95,81.51,11.95,81.51
13.78,83.29,13.78,83.29
15.64,85.11,15.64,85.11
17.54,86.97,17.54,86.97
18.5,87.91,18.5,87.91
653.85,-435.47,653.85,-435.47
655.4,-433.22,655.4,-433.22
656.97,-430.92,656.97,-430.92
658.58,-428.59,658.58,-428.59
660.22,-426.21,660.22,-426.21
661.88,-423.8,661.88,-423.8
663.57,-421.35,663.57,-421.35
664.42,-420.11,664.42,-420.11
664.42,-420.11,664.42,-420.11
647.47,-428.04,647.47,-428.04
631.49,-434.46,631.49,-434.46
616.46,-439.44,616.46,-439.44
602.32,-443.05,602.32,-443.05
589.02,-445.37,589.02,-445.37
576.52,-446.48,576.52,-446.48
564.78,-446.44,564.78,-446.44
553.74,-445.35,553.74,-445.35
543.36,-443.27,543.36,-443.27
533.6,-440.28,533.6,-440.28
524.41,-436.45,524.41,-436.45
515.75,-431.86,515.75,-431.86
507.58,-426.57,507.58,-426.57
499.85,-420.65,499.85,-420.65
492.52,-414.16,492.52,-414.16
485.55,-407.17,485.55,-407.17
478.91,-399.74,478.91,-399.74
472.56,-391.93,472.56,-391.93
466.46,-383.79,466.46,-383.79
460.57,-375.37,460.57,-375.37
454.86,-366.72,454.86,-366.72
449.3,-357.9,449.3,-357.9
443.86,-348.94,443.86,-348.94
438.5,-339.89,438.5,-339.89
433.2,-330.78,433.2,-330.78
427.94,-321.66,427.94,-321.66
422.67,-312.55,422.67,-312.55
417.38,-303.49,417.38,-303.49
412.06,-294.51,412.06,-294.51
406.66,-285.64,406.66,-285.64
401.18,-276.89,401.18,-276.89
395.59,-268.29,395.59,-268.29
389.88,-259.86,389.88,-259.86
384.04,-251.62,384.04,-251.62
378.04,-243.59,378.04,-243.59
371.87,-235.77,371.87,-235.77
365.52,-228.17,365.52,-228.17
358.99,-220.82,358.99,-220.82
352.26,-213.71,352.26,-213.71
345.32,-206.85,345.32,-206.85
338.17,-200.24,338.17,-200.24
330.81,-193.89,330.81,-193.89
323.23,-187.79,323.23,-187.79
315.43,-181.95,315.43,-181.95
307.42,-176.35,307.42,-176.35
299.19,-170.99,299.19,-170.99
290.74,-165.87,290.74,-165.87
282.09,-160.97,282.09,-160.97
273.23,-156.29,273.23,-156.29
264.19,-151.81,264.19,-151.81
254.96,-147.52,254.96,-147.52
245.56,-143.39,245.56,-143.39
